molecule_chembl_id,canonical_smiles,type,standard_value,value
CHEMBL4065323,C=CC(=O)Nc1ccc(CN2C(=O)N(c3cc(OC)cc(OC)c3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc32)cc1,Inhibition,4.18,4.18
CHEMBL3104250,C/C(=N\NC(=O)c1cccc(S(=O)(=O)N2CCOCC2)c1)c1cc(Cl)ccc1O,Inhibition,10.07,10.07
CHEMBL4098877,C[C@@H]1CN(c2cc(-c3n[nH]c4ccc(OC5(C)CC5)cc34)ncn2)C[C@H](C)O1,Inhibition,3.93,3.93
CHEMBL2381517,O=C(NO)c1cccc(C(=O)NCCc2ccccc2)c1,Inhibition,1.08,1.08
CHEMBL3301606,CC1(C)CN(C(=O)c2ccc(-c3cccc4nc(NC(=O)C5CC5)nn34)cc2)C1,Inhibition,12.04,12.04
CHEMBL1080648,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,Inhibition,5.72,5.72
CHEMBL595092,COc1cnc(-c2ccc(Cn3c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c4cc(OC[C@@H]5Cc6ccccc6N5C(C)=O)ccc43)cc2)nc1,Inhibition,8.64,8.64
CHEMBL4558324,C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1,Inhibition,8.74,8.74
CHEMBL3653256,COc1ncc(-c2nc3c(n2C(C)C)[C@H](c2ccc(Cl)cc2)N(c2cc(Cl)cn(C)c2=O)C3=O)c(OC)n1,Inhibition,8.29,8.29
CHEMBL1672987,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2,Inhibition,7.89,7.89
CHEMBL373134,c1cncc(-c2cnn[nH]2)c1,Inhibition,7.99,7.99
CHEMBL134915,COc1ccc(S(=O)(=O)Nc2nc(-c3cccc([N+](=O)[O-])c3)cs2)cc1OC,Inhibition,4.04,4.04
CHEMBL4163879,CN(C)C/C=C/C(=O)Nc1ccc(C(=O)N2CCC[C@@H](Nc3ncc(Cl)c(-c4c[nH]c5ccccc45)n3)C2)cc1,Inhibition,11.43,11.43
CHEMBL1233897,O=C(NC1CCN(CC(F)(F)F)CC1)c1ccc(-c2cccc(F)c2)nc1,Inhibition,6.45,6.45
CHEMBL3707351,Cc1cc(O[C@@H](CCC(F)(F)F)c2ccc(C(=O)NCCC(=O)O)cc2)cc(C)c1-c1ccc(C(C)(C)C)cc1,Inhibition,-2.88,-2.88
CHEMBL489079,NC/C(=C/F)CCc1ccc(F)cc1,Inhibition,13.16,13.16
CHEMBL1077204,CN(C)CCNC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,Inhibition,4.86,4.86
CHEMBL3903492,Cc1n[nH]c2ncc(C(=O)N3CCC[C@H]3c3ccc(Cl)cc3)cc12,Inhibition,15.44,15.44
CHEMBL4552060,Cc1cc(-n2c(=O)ccc3c[nH]c4nccc-4c32)ccc1F,Inhibition,10.65,10.65
CHEMBL4072833,C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,Inhibition,6.68,6.68
CHEMBL26915,COc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1,Inhibition,10.4,10.4
CHEMBL161702,O=C(O)C(Cc1ccccc1)CN(O)C(=O)Cc1ccccc1,Inhibition,8.99,8.99
CHEMBL277805,Nc1ccccc1NC(=O)CCCCCC(=O)Nc1ccccc1,Inhibition,9.33,9.33
CHEMBL4559134,COc1ccc(CN2C3CC2CN(c2ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn2)C3)cn1,Inhibition,93.07,93.07
CHEMBL4065858,O=C1N[C@](c2ccc(N3CCOCC3)cc2)(c2ccsc2)CC(O)=C1Sc1ccccc1Cl,Inhibition,7.36,7.36
CHEMBL3781415,Nc1ncc(-c2ccnc(Nc3ccncc3)n2)c(CC2CC2)n1,Inhibition,11.93,11.93
CHEMBL3109036,COc1cc(C(N)=O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,Inhibition,8.54,8.54
CHEMBL505629,N[C@@H](CCCCNC(=O)OCc1ccc([N+](=O)[O-])cc1)C(=O)N1CCCC1,Inhibition,1.21,1.21
CHEMBL3785703,CN1C(=O)[C@@H](NC(=O)c2cc(Cc3ccccc3)on2)COc2ccccc21,Inhibition,9.25,9.25
CHEMBL514882,OCC1=C[C@@H](O)[C@@H]2C=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]12,Inhibition,0.17,0.17
CHEMBL40919,COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1,Inhibition,5.92,5.92
CHEMBL3782109,CN1CCN(c2ccc(C(=O)Nc3ccc([C@@H]4C[C@H]4N)cc3)cc2)CC1,Inhibition,14.8,14.8
CHEMBL4082745,Cc1ccc(Oc2nc3cc(-c4ccc(-c5ccccc5)cc4)c(Cl)cc3[nH]2)cc1C(=O)O,Inhibition,-10.44,-10.44
CHEMBL2047943,Cc1cc(N2CCOCC2)ccc1Nc1nc(NC2CCCCC2)c2nc[nH]c2n1,Inhibition,8.44,8.44
CHEMBL134713,COc1ccc(/C=C2\CCCN=C2c2cccnc2)c(OC)c1,Inhibition,12.79,12.79
CHEMBL4476770,NC(=O)c1nc(-c2c(F)cccc2Cl)oc1Nc1ccc(C(=O)N2CCOCC2)cc1,Inhibition,0.71,0.71
CHEMBL3407547,COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(=O)O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1,Inhibition,4.72,4.72
CHEMBL570015,COc1cccc(Nc2c(C(N)=O)cnc3c(C)cc(S(=O)(=O)c4cccc(C(=O)N(C)C)c4)cc23)c1,Inhibition,-2.54,-2.54
CHEMBL459505,CCC(CC)C(c1ccc(Nc2nc3ccccc3s2)cc1)n1cncn1,Inhibition,-0.02,-0.02
CHEMBL601757,Cc1nc2c(=O)n(C)c(=O)nc-2n(C)n1,Inhibition,7.15,7.15
CHEMBL3617655,C[C@@H]1CN(c2cccnc2F)C(=O)c2cc(COc3ccc(Cl)cn3)nn21,Inhibition,7.34,7.34
